sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-CG-4440-01	TCGA-CG-4440-01	5.718	STAD
TCGA-21-1077-01	TCGA-21-1077-01	5.643	LUSC
TCGA-CV-7245-01	TCGA-CV-7245-01	5.466	HNSC
TCGA-96-A4JK-01	TCGA-96-A4JK-01	5.427	LUSC
TCGA-L3-A524-01	TCGA-L3-A524-01	5.378	LUSC
TCGA-O2-A52S-01	TCGA-O2-A52S-01	5.298	LUSC
TCGA-22-4604-01	TCGA-22-4604-01	5.192	LUSC
TCGA-J1-A4AH-01	TCGA-J1-A4AH-01	5.161	LUSC
TCGA-56-7579-01	TCGA-56-7579-01	5.104	LUSC
TCGA-NC-A5HQ-01	TCGA-NC-A5HQ-01	5.083	LUSC
TCGA-63-7023-01	TCGA-63-7023-01	5.072	LUSC
TCGA-44-5643-01	TCGA-44-5643-01	5.005	LUAD
TCGA-77-8128-01	TCGA-77-8128-01	4.965	LUSC
TCGA-CV-6962-01	TCGA-CV-6962-01	4.961	HNSC
TCGA-85-A512-01	TCGA-85-A512-01	4.939	LUSC
TCGA-RU-A8FL-01	TCGA-RU-A8FL-01	4.897	COAD
TCGA-5M-AATA-01	TCGA-5M-AATA-01	4.876	
TCGA-CD-8528-01	TCGA-CD-8528-01	4.852	STAD
TCGA-22-4613-01	TCGA-22-4613-01	4.851	LUSC
TCGA-37-A5EN-01	TCGA-37-A5EN-01	4.848	LUSC
TCGA-63-A5MB-01	TCGA-63-A5MB-01	4.8	LUSC
TCGA-94-A5I4-01	TCGA-94-A5I4-01	4.788	LUSC
TCGA-G4-6295-01	TCGA-G4-6295-01	4.784	COAD
TCGA-43-8118-01	TCGA-43-8118-01	4.78	LUSC
TCGA-BR-A4QI-01	TCGA-BR-A4QI-01	4.752	STAD
TCGA-63-A5MJ-01	TCGA-63-A5MJ-01	4.748	LUSC
TCGA-96-7545-01	TCGA-96-7545-01	4.709	LUSC
TCGA-IG-A4QS-01	TCGA-IG-A4QS-01	4.693	ESCA
TCGA-22-5477-01	TCGA-22-5477-01	4.688	LUSC
TCGA-56-5898-01	TCGA-56-5898-01	4.685	LUSC
TCGA-L5-A4OE-01	TCGA-L5-A4OE-01	4.676	ESCA
TCGA-BB-7871-01	TCGA-BB-7871-01	4.655	HNSC
TCGA-68-7755-01	TCGA-68-7755-01	4.652	LUSC
TCGA-EI-6885-01	TCGA-EI-6885-01	4.643	READ
TCGA-IN-A6RN-01	TCGA-IN-A6RN-01	4.641	STAD
TCGA-56-A4BY-01	TCGA-56-A4BY-01	4.621	LUSC
TCGA-5M-AAT6-01	TCGA-5M-AAT6-01	4.592	COAD
TCGA-R6-A6DN-01	TCGA-R6-A6DN-01	4.59	ESCA
TCGA-CV-7253-01	TCGA-CV-7253-01	4.579	HNSC
TCGA-JY-A6F8-01	TCGA-JY-A6F8-01	4.569	ESCA
TCGA-39-5019-01	TCGA-39-5019-01	4.564	LUSC
TCGA-73-4670-01	TCGA-73-4670-01	4.558	LUAD
TCGA-EK-A2IR-01	TCGA-EK-A2IR-01	4.551	CESC
TCGA-56-1622-01	TCGA-56-1622-01	4.525	LUSC
TCGA-CV-7430-01	TCGA-CV-7430-01	4.491	HNSC
TCGA-CG-4438-01	TCGA-CG-4438-01	4.481	STAD
TCGA-CN-A63T-01	TCGA-CN-A63T-01	4.46	HNSC
TCGA-QK-A8Z7-01	TCGA-QK-A8Z7-01	4.456	HNSC
TCGA-18-4083-01	TCGA-18-4083-01	4.447	LUSC
TCGA-F4-6805-01	TCGA-F4-6805-01	4.441	COAD
TCGA-VQ-A91S-01	TCGA-VQ-A91S-01	4.436	STAD
TCGA-D7-A6EV-01	TCGA-D7-A6EV-01	4.387	STAD
TCGA-DC-6158-01	TCGA-DC-6158-01	4.387	READ
TCGA-38-4625-01	TCGA-38-4625-01	4.372	LUAD
TCGA-CV-7440-01	TCGA-CV-7440-01	4.372	HNSC
TCGA-LN-A8HZ-01	TCGA-LN-A8HZ-01	4.369	ESCA
TCGA-HZ-8005-01	TCGA-HZ-8005-01	4.355	PAAD
TCGA-S4-A8RO-01	TCGA-S4-A8RO-01	4.351	PAAD
TCGA-VR-A8EY-01	TCGA-VR-A8EY-01	4.344	ESCA
TCGA-V1-A9O5-06	TCGA-V1-A9O5-06	4.342	PRAD
TCGA-CV-5978-01	TCGA-CV-5978-01	4.318	HNSC
TCGA-18-4721-01	TCGA-18-4721-01	4.317	LUSC
TCGA-77-6845-01	TCGA-77-6845-01	4.31	LUSC
TCGA-85-8052-01	TCGA-85-8052-01	4.302	LUSC
TCGA-33-AAS8-01	TCGA-33-AAS8-01	4.289	LUSC
TCGA-63-A5MP-01	TCGA-63-A5MP-01	4.287	LUSC
TCGA-S8-A6BW-01	TCGA-S8-A6BW-01	4.285	ESCA
TCGA-AF-6655-01	TCGA-AF-6655-01	4.278	READ
TCGA-34-5231-01	TCGA-34-5231-01	4.269	LUSC
TCGA-CL-5917-01	TCGA-CL-5917-01	4.264	READ
TCGA-L5-A4OH-01	TCGA-L5-A4OH-01	4.242	ESCA
TCGA-22-5471-01	TCGA-22-5471-01	4.225	LUSC
TCGA-34-8456-01	TCGA-34-8456-01	4.225	LUSC
TCGA-77-A5GF-01	TCGA-77-A5GF-01	4.222	LUSC
TCGA-66-2800-01	TCGA-66-2800-01	4.202	LUSC
TCGA-92-7341-01	TCGA-92-7341-01	4.185	LUSC
TCGA-DM-A1DB-01	TCGA-DM-A1DB-01	4.182	COAD
TCGA-CV-5434-01	TCGA-CV-5434-01	4.179	HNSC
TCGA-CG-5724-01	TCGA-CG-5724-01	4.166	STAD
TCGA-DM-A1D6-01	TCGA-DM-A1D6-01	4.158	COAD
TCGA-CQ-A4CI-01	TCGA-CQ-A4CI-01	4.145	HNSC
TCGA-NH-A6GB-01	TCGA-NH-A6GB-01	4.142	COAD
TCGA-BR-8590-01	TCGA-BR-8590-01	4.131	STAD
TCGA-D5-6923-01	TCGA-D5-6923-01	4.125	COAD
TCGA-05-4395-01	TCGA-05-4395-01	4.123	LUAD
TCGA-VR-A8EP-01	TCGA-VR-A8EP-01	4.123	ESCA
TCGA-NH-A50U-01	TCGA-NH-A50U-01	4.119	COAD
TCGA-DM-A28H-01	TCGA-DM-A28H-01	4.109	COAD
TCGA-60-2722-01	TCGA-60-2722-01	4.088	LUSC
TCGA-CV-7409-01	TCGA-CV-7409-01	4.084	HNSC
TCGA-VQ-A8PE-01	TCGA-VQ-A8PE-01	4.076	STAD
TCGA-CV-7250-01	TCGA-CV-7250-01	4.073	HNSC
TCGA-58-A46K-01	TCGA-58-A46K-01	4.052	LUSC
TCGA-IG-A51D-01	TCGA-IG-A51D-01	4.052	ESCA
TCGA-56-7221-01	TCGA-56-7221-01	4.046	LUSC
TCGA-77-A5G3-01	TCGA-77-A5G3-01	4.045	LUSC
TCGA-77-8154-01	TCGA-77-8154-01	4.043	LUSC
TCGA-GV-A40E-01	TCGA-GV-A40E-01	4.037	BLCA
TCGA-R6-A6XG-01	TCGA-R6-A6XG-01	4.027	ESCA
TCGA-60-2723-01	TCGA-60-2723-01	4.006	LUSC
TCGA-85-7696-01	TCGA-85-7696-01	4.003	LUSC
TCGA-VQ-A8E2-01	TCGA-VQ-A8E2-01	3.997	STAD
TCGA-22-0944-01	TCGA-22-0944-01	3.995	LUSC
TCGA-D7-6525-01	TCGA-D7-6525-01	3.994	STAD
TCGA-66-2753-01	TCGA-66-2753-01	3.993	LUSC
TCGA-21-1075-01	TCGA-21-1075-01	3.985	LUSC
TCGA-77-8143-01	TCGA-77-8143-01	3.981	LUSC
TCGA-CD-A487-01	TCGA-CD-A487-01	3.966	STAD
TCGA-AZ-4684-01	TCGA-AZ-4684-01	3.965	COAD
TCGA-58-A46N-01	TCGA-58-A46N-01	3.954	LUSC
TCGA-52-7811-01	TCGA-52-7811-01	3.946	LUSC
TCGA-CG-4436-01	TCGA-CG-4436-01	3.938	STAD
TCGA-UF-A7JT-01	TCGA-UF-A7JT-01	3.935	HNSC
TCGA-F5-6465-01	TCGA-F5-6465-01	3.928	READ
TCGA-CN-6022-01	TCGA-CN-6022-01	3.905	HNSC
TCGA-IG-A97I-01	TCGA-IG-A97I-01	3.901	ESCA
TCGA-22-4601-01	TCGA-22-4601-01	3.9	LUSC
TCGA-34-7107-01	TCGA-34-7107-01	3.9	LUSC
TCGA-R5-A7ZI-01	TCGA-R5-A7ZI-01	3.898	STAD
TCGA-VR-A8ER-01	TCGA-VR-A8ER-01	3.879	ESCA
TCGA-G4-6303-01	TCGA-G4-6303-01	3.877	COAD
