Geneid	Length	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	SE
PLA2G16	1767	1.6143256025668	1.53003026510659	1.6986209400270103	7.75963704237085	39.7280029032242	6.747760405709359e-22	7.463564894760989e-18	40.210519179695794	0.04300782523480108
RPL9	908	-2.6098235348620697	-2.7497505966095495	-2.4698964731145896	7.90922626295683	-38.691768574141	1.19407485717319e-21	7.463564894760989e-18	39.5968873585739	0.07139135803442853
MDK	1723	1.8378918627618401	1.7345421454597199	1.94124158006396	7.680078965236389	36.8909479428338	3.33856756905937e-21	1.0773449821813401e-17	38.6373325764877	0.05272944760312248
PPFIA1	6895	-1.78512184855164	-1.8856534172412398	-1.68459027986205	6.55881072984349	-36.836177681166	3.4472281647271196e-21	1.0773449821813401e-17	38.4829380328227	0.051291616678364745
PTMA	3114	-1.56877857214373	-1.6649621503801	-1.47259499390737	9.578573994837038	-33.8352875711531	2.1474575583376e-20	5.3690733873556794e-17	36.873739938998604	0.04907325420222706
ATPAF1	2152	-1.6153781168651	-1.71845377157971	-1.5123024621505001	6.53353827580981	-32.510769298422495	5.0634799568143394e-20	1.0549760490022699e-16	35.9093040245481	0.05258961975234944
MCM3	3208	-1.3729146793806397	-1.46418674845586	-1.28164261030541	7.09632689188741	-31.2043259523255	1.2202910667073099e-19	1.96194088058134e-16	35.1195730227644	0.046567382181237245
NAPA	1950	-1.35564467907594	-1.4458884844299098	-1.26540087372197	7.32429017371773	-31.162882822638803	1.25554172023444e-19	1.96194088058134e-16	35.0936432519589	0.046042757833658125
BCAM	3431	1.4820263167097398	1.3826423584648002	1.58141027495469	8.22320137945112	30.9349044431526	1.4694296477102498e-19	2.0410377806695403e-16	34.9558476454398	0.05070610114538008
OPRK1	5196	-1.7299262528293002	-1.8521096844196998	-1.6077428212388998	6.76417698335081	-29.3713848664637	4.45737966964452e-19	5.57217032502261e-16	33.7708507399673	0.06233848550530613
HMGCS1	6187	-1.16386180862351	-1.24721546403543	-1.0805081532116	8.5889701745581	-28.9658261719867	5.99905785087718e-19	6.2495185161513e-16	33.5491495349549	0.0425273752101607
TMCO1	4670	1.9160905319577899	1.7791986153593897	2.05298244855619	5.911365215251711	29.0367077757642	5.69394106599827e-19	6.2495185161513e-16	33.4775104004585	0.0698428145910205
CAPN2	4978	1.55182245566832	1.4398211613301102	1.66382375000654	6.772246222783231	28.7427384817033	7.075859603498941e-19	6.804255454103099e-16	33.3675744899492	0.057143517519497415
ACPP	4322	1.17910928893388	1.09318649265893	1.2650320852088301	11.2153161854318	28.467859348593997	8.68662559248126e-19	7.46420902742695e-16	33.1468207123528	0.04383816136477042
SLC30A4	8838	1.55751819339804	1.4437246074019	1.6713117793941799	7.286362410554099	28.3938639932915	9.182652166034249e-19	7.46420902742695e-16	33.1269817873776	0.05805795203884693
