pos_id	pos_id_2	gene_peak_link
chr1:8258701-8260050	chr1:8182051-8182950	hichip
chr1:62707051-62708100	chr1:62687401-62688750	hichip
chr1:62707051-62708100	chr1:62726101-62726550	hichip
chr1:116329501-116330700	chr1:116489251-116489700	hichip
chr1:224186551-224187150	chr1:224204701-224206200	hichip
chr1:234610351-234613500	chr1:234544051-234545700	hichip
chr1:234610351-234613500	chr1:234723451-234725550	hichip
chr1:234610351-234613500	chr1:234960451-234962400	hichip
chr1:234610351-234613500	chr1:235083151-235084350	hichip
chr1:240596701-240597600	chr1:240508201-240508650	hichip
chr10:60490051-60490650	chr10:60480901-60481500	hichip
chr10:60490051-60490650	chr10:60497251-60497700	hichip
chr10:114081901-114083550	chr10:114026551-114027450	hichip
chr11:9059101-9060900	chr11:9136501-9139500	hichip
chr11:64841551-64846050	chr11:65036851-65037900	hichip
chr11:64841551-64846050	chr11:65040601-65042250	hichip
chr11:64841551-64846050	chr11:65101051-65102850	hichip
chr11:65505451-65509800	chr11:65379151-65383350	hichip
chr11:65505451-65509800	chr11:65467501-65469450	hichip
chr11:65505451-65509800	chr11:65694901-65697300	hichip
chr11:93236701-93237750	chr11:93228751-93229500	hichip
chr11:93236701-93237750	chr11:93317101-93317550	hichip
chr11:93236701-93237750	chr11:93355951-93356850	hichip
chr11:93236701-93237750	chr11:93497251-93498600	hichip
chr11:93236701-93237750	chr11:93541801-93543900	hichip
chr11:94832701-94833300	chr11:94767601-94770300	hichip
chr11:118076701-118077300	chr11:118090651-118092000	hichip
chr11:129456301-129457650	chr11:129324151-129325050	hichip
chr12:2764351-2765250	chr12:2753701-2755050	hichip
chr12:11931151-11931600	chr12:11885251-11886150	hichip
chr12:26428801-26429700	chr12:26100901-26101800	hichip
chr12:42996751-42997200	chr12:42921751-42922800	hichip
chr12:52125601-52127550	chr12:51961651-51962250	hichip
chr12:52125601-52127550	chr12:52118251-52118700	hichip
chr12:64671301-64673250	chr12:64625251-64626150	hichip
chr12:64671301-64673250	chr12:64633951-64634850	hichip
chr12:71157601-71158950	chr12:71162701-71163750	hichip
chr12:95737651-95738700	chr12:95626951-95627250	hichip
chr12:95737651-95738700	chr12:95717701-95718750	hichip
chr12:119959501-119959950	chr12:119974201-119974650	hichip
chr13:44849101-44849700	chr13:44853451-44855100	hichip
chr13:106736851-106737450	chr13:106699351-106700850	hichip
chr13:106736851-106737450	chr13:106752901-106753950	hichip
chr14:59935651-59937300	chr14:60091201-60092850	hichip
chr15:86934301-86934750	chr15:86915701-86917350	hichip
chr15:91531051-91531500	chr15:91496701-91497600	hichip
chr15:91531051-91531500	chr15:91536751-91537050	hichip
chr15:92695651-92696850	chr15:92636551-92639850	hichip
chr15:92695651-92696850	chr15:92652151-92656200	hichip
chr15:92695651-92696850	chr15:92676751-92677050	hichip
chr15:92695651-92696850	chr15:92808451-92812500	hichip
chr16:80883151-80883600	chr16:80836951-80838300	hichip
chr17:8056051-8058000	chr17:8066401-8068500	hichip
chr17:28527601-28528800	chr17:28497151-28500150	hichip
chr18:22044301-22045650	chr18:22608301-22610100	hichip
chr18:49681201-49681800	chr18:49560451-49562850	hichip
chr18:49681201-49681800	chr18:49663951-49665000	hichip
chr18:74281801-74283150	chr18:74166301-74166900	hichip
chr19:2543401-2544450	chr19:2552851-2553150	hichip
chr2:44244151-44244750	chr2:44286751-44287350	hichip
chr2:197147551-197148450	chr2:197145451-197146200	hichip
chr20:237601-238650	chr20:297151-298950	hichip
chr20:237601-238650	chr20:753751-754650	hichip
chr20:46990051-46990800	chr20:46823251-46823700	hichip
chr20:53863951-53866650	chr20:53750851-53751600	hichip
chr20:53863951-53866650	chr20:53785201-53787150	hichip
chr20:53863951-53866650	chr20:53827951-53829000	hichip
chr21:15659401-15660300	chr21:15586351-15587400	hichip
chr21:15659401-15660300	chr21:15722551-15723000	hichip
chr21:17498551-17499150	chr21:17435551-17437200	hichip
chr21:17498551-17499150	chr21:17441401-17441850	hichip
chr21:17498551-17499150	chr21:17446651-17447250	hichip
chr21:17498551-17499150	chr21:17462401-17463150	hichip
chr21:17498551-17499150	chr21:17512351-17514450	hichip
chr21:33203701-33204450	chr21:33412801-33413700	hichip
chr21:36134251-36136650	chr21:36125551-36128400	hichip
chr21:36134251-36136650	chr21:36155401-36157650	hichip
chr21:36134251-36136650	chr21:36234901-36235650	hichip
chr21:36134251-36136650	chr21:36347401-36347850	hichip
chr21:36134251-36136650	chr21:37071901-37074450	hichip
chr21:36768601-36769950	chr21:36639451-36641250	hichip
chr21:36768601-36769950	chr21:36753601-36754950	hichip
chr21:36768601-36769950	chr21:37071901-37074450	hichip
chr21:38570101-38570850	chr21:38561251-38562600	hichip
chr21:38570101-38570850	chr21:38612851-38613600	hichip
chr21:41677801-41679450	chr21:41525851-41527200	hichip
chr21:41677801-41679450	chr21:41764651-41769000	hichip
chr21:42734101-42735000	chr21:42590701-42593700	hichip
chr22:24289651-24290400	chr22:24302101-24304050	hichip
chr3:23750701-23751600	chr3:23592901-23593650	hichip
chr3:23750701-23751600	chr3:23645851-23646900	hichip
chr3:23750701-23751600	chr3:23712601-23713350	hichip
chr3:30871651-30872100	chr3:30904351-30905700	hichip
chr3:188206201-188207400	chr3:187738651-187743000	hichip
chr3:188206201-188207400	chr3:188176351-188176800	hichip
chr4:41318701-41320500	chr4:41442601-41443200	hichip
chr4:68904751-68906700	chr4:68670451-68671800	hichip
chr4:68904751-68906700	chr4:68732701-68733450	hichip
chr4:68904751-68906700	chr4:68864401-68865600	hichip
chr4:68904751-68906700	chr4:69027301-69028050	hichip
chr4:68904751-68906700	chr4:69095101-69096600	hichip
chr4:72567601-72570450	chr4:73068301-73070550	hichip
chr4:72567601-72570450	chr4:73257151-73260000	hichip
chr4:73442401-73442700	chr4:73450651-73451100	hichip
chr4:73948951-73949550	chr4:73947151-73948200	hichip
chr4:73948951-73949550	chr4:73257151-73260000	hichip
chr4:76551151-76551600	chr4:76526251-76527150	hichip
chr4:88216351-88217400	chr4:88318351-88319850	hichip
chr4:88216351-88217400	chr4:88320751-88321350	hichip
chr4:88216351-88217400	chr4:88514401-88516050	hichip
chr4:90093451-90093600	chr4:90081751-90082050	hichip
chr4:94679701-94680900	chr4:94623151-94623900	hichip
chr4:94679701-94680900	chr4:94653001-94653750	hichip
chr4:139555201-139558050	chr4:139665601-139667250	hichip
chr4:158819851-158820450	chr4:158826601-158827650	hichip
chr4:168919801-168920400	chr4:168586951-168587700	hichip
chr4:173037001-173037600	chr4:173038201-173040600	hichip
chr4:173037001-173037600	chr4:173056801-173057700	hichip
chr5:15009451-15009750	chr5:14716651-14717700	hichip
chr5:32173351-32175450	chr5:32193451-32194200	hichip
chr5:59767951-59769150	chr5:59798701-59800350	hichip
chr5:60487351-60488400	chr5:59831401-59831850	hichip
chr5:60487351-60488400	chr5:60374401-60374850	hichip
chr5:60487351-60488400	chr5:60447001-60447900	hichip
chr5:60487351-60488400	chr5:60495901-60496350	hichip
chr5:68746201-68747700	chr5:68287801-68289150	hichip
chr5:91126651-91127100	chr5:91162501-91163400	hichip
chr5:91126651-91127100	chr5:91382551-91384200	hichip
chr5:95989351-95989950	chr5:95758501-95760000	hichip
chr5:95989351-95989950	chr5:95857201-95857800	hichip
chr5:95989351-95989950	chr5:96144301-96144750	hichip
chr5:95989351-95989950	chr5:96157201-96158550	hichip
chr5:124908601-124909200	chr5:124906351-124907100	hichip
chr5:124908601-124909200	chr5:124921801-124923450	hichip
chr5:124908601-124909200	chr5:124995601-124995900	hichip
chr5:124908601-124909200	chr5:125011201-125013450	hichip
chr5:124908601-124909200	chr5:125026951-125027850	hichip
chr5:142965751-142966350	chr5:142981501-142983150	hichip
chr6:11296951-11297850	chr6:11217151-11219250	hichip
chr6:11296951-11297850	chr6:11392351-11393550	hichip
chr6:89940451-89941950	chr6:90044851-90045300	hichip
chr6:110655751-110657250	chr6:110527951-110529600	hichip
chr6:110655751-110657250	chr6:110681551-110682750	hichip
chr6:110655751-110657250	chr6:110952151-110953050	hichip
chr6:138188251-138189150	chr6:138231151-138232200	hichip
chr6:139373101-139377150	chr6:139230451-139230900	hichip
chr6:154852651-154852950	chr6:154732651-154734600	hichip
chr7:29377651-29378100	chr7:29071351-29071800	hichip
chr7:42262801-42263400	chr7:42400951-42401400	hichip
chr7:77453701-77454000	chr7:77498701-77499450	hichip
chr7:88291801-88292400	chr7:88289551-88290000	hichip
chr7:88291801-88292400	chr7:88281751-88282200	hichip
chr7:88291801-88292400	chr7:88306501-88307100	hichip
chr7:97555951-97556400	chr7:97752151-97752750	hichip
chr7:105876151-105877050	chr7:105896401-105897150	hichip
chr7:122652901-122653350	chr7:122577451-122577750	hichip
chr8:38384701-38387400	chr8:38509651-38511450	hichip
chr8:38384701-38387400	chr8:38734201-38736300	hichip
